Team,Season,Venue,Wins,Loss,Win%,FT Made,FT Att,FT%,Win Rnk,Loss Rnk,Win% Rnk,FT Made Rnk,FT ATT Rnk,FT% Rnk,Total Points
Atlanta Hawks,2012-13,Home,25,16,0.61,595,856,0.695,15,15,15,27,24,28,4075
Boston Celtics,2012-13,Home,27,13,0.675,675,889,0.759,13,12,13,20,21,15,3940
Brooklyn Nets,2012-13,Home,26,15,0.634,724,1003,0.722,14,14,14,11,10,25,4001
Charlotte Bobcats,2012-13,Home,15,26,0.366,823,1076,0.765,28,28,28,3,6,11,3955
Chicago Bulls,2012-13,Home,24,17,0.585,685,892,0.768,16,16,16,17,20,10,3809
Cleveland Cavaliers,2012-13,Home,14,27,0.341,707,933,0.758,29,29,29,13,13,16,3983
Dallas Mavericks,2012-13,Home,24,17,0.585,678,868,0.781,16,16,16,19,23,4,4224
Denver Nuggets,2012-13,Home,38,3,0.927,766,1089,0.703,1,1,1,7,4,27,4446
Detroit Pistons,2012-13,Home,18,23,0.439,638,918,0.695,25,25,25,25,15,29,3928
Golden State Warriors,2012-13,Home,28,13,0.683,704,902,0.78,12,12,12,16,16,6,4173
Houston Rockets,2012-13,Home,29,12,0.707,826,1084,0.762,10,10,10,2,5,13,4441
Indiana Pacers,2012-13,Home,30,11,0.732,752,1016,0.74,8,8,8,8,7,20,4002
Los Angeles Clippers,2012-13,Home,32,9,0.78,656,901,0.728,5,5,5,23,18,24,4269
Los Angeles Lakers,2012-13,Home,29,12,0.707,748,1124,0.665,10,10,10,9,1,30,4206
Memphis Grizzlies,2012-13,Home,32,9,0.78,644,828,0.778,5,5,5,24,26,7,3823
Miami Heat,2012-13,Home,37,4,0.902,780,1008,0.774,2,2,2,6,9,8,4362
Milwaukee Bucks,2012-13,Home,21,20,0.512,662,886,0.747,21,21,21,22,22,18,4152
Minnesota Timberwolves,2012-13,Home,20,21,0.488,805,1093,0.737,23,23,23,4,2,22,3938
New Orleans Hornets,2012-13,Home,16,25,0.39,571,767,0.744,27,27,27,28,28,19,3814
New York Knicks,2012-13,Home,31,10,0.756,685,899,0.762,7,7,7,17,19,14,4210
Oklahoma City Thunder,2012-13,Home,34,7,0.829,912,1092,0.835,4,4,4,1,3,1,4448
Orlando Magic,2012-13,Home,12,29,0.293,507,675,0.751,30,30,30,29,29,17,3900
Philadelphia 76ers,2012-13,Home,23,18,0.561,476,669,0.712,18,18,18,30,30,26,3881
Phoenix Suns,2012-13,Home,17,24,0.415,599,819,0.731,26,26,26,26,27,23,3878
Portland Trail Blazers,2012-13,Home,22,19,0.537,707,902,0.784,19,19,19,13,16,3,4066
Sacramento Kings,2012-13,Home,20,21,0.488,791,1013,0.781,23,23,23,5,8,5,4289
San Antonio Spurs,2012-13,Home,35,6,0.854,667,839,0.795,3,3,3,21,25,2,4289
Toronto Raptors,2012-13,Home,21,20,0.512,715,926,0.772,21,21,21,12,14,9,3968
Utah Jazz,2012-13,Home,30,11,0.732,740,971,0.762,8,8,8,10,11,12,4111
Washington Wizards,2012-13,Home,22,19,0.537,706,955,0.739,19,19,19,15,12,21,4013
Atlanta Hawks,2012-13,Road,19,22,0.463,563,763,0.738,9,10,10,28,28,22,3957
Boston Celtics,2012-13,Road,14,27,0.341,643,809,0.795,17,17,17,21,23,6,3878
Brooklyn Nets,2012-13,Road,23,18,0.561,708,955,0.741,5,5,5,8,7,21,3943
Charlotte Bobcats,2012-13,Road,6,35,0.146,723,984,0.735,30,30,30,6,6,23,3706
Chicago Bulls,2012-13,Road,21,20,0.512,658,846,0.778,8,8,8,18,19,8,3832
Cleveland Cavaliers,2012-13,Road,10,31,0.244,673,893,0.754,25,25,25,16,14,16,3930
Dallas Mavericks,2012-13,Road,17,24,0.415,645,801,0.805,13,13,13,20,24,2,4069
Denver Nuggets,2012-13,Road,19,22,0.463,739,1059,0.698,9,10,10,4,3,29,4258
Detroit Pistons,2012-13,Road,11,30,0.268,669,952,0.703,20,20,20,17,8,28,3850
Golden State Warriors,2012-13,Road,19,22,0.463,674,842,0.8,9,10,10,15,20,5,4123
Houston Rockets,2012-13,Road,16,25,0.39,747,1003,0.745,15,15,15,3,4,20,4247
Indiana Pacers,2012-13,Road,19,21,0.475,677,899,0.753,9,9,9,14,13,17,3672
Los Angeles Clippers,2012-13,Road,24,17,0.585,686,987,0.695,3,3,3,13,5,30,4020
Los Angeles Lakers,2012-13,Road,16,25,0.39,836,1165,0.718,15,15,15,2,1,27,4175
Memphis Grizzlies,2012-13,Road,24,17,0.585,705,918,0.768,3,3,3,9,10,9,3836
Miami Heat,2012-13,Road,29,12,0.707,643,879,0.732,1,1,1,21,16,24,4074
Milwaukee Bucks,2012-13,Road,17,24,0.415,589,814,0.724,13,13,13,26,22,26,3956
Minnesota Timberwolves,2012-13,Road,11,30,0.268,710,949,0.748,20,20,20,7,9,18,3913
New Orleans Hornets,2012-13,Road,11,30,0.268,698,869,0.803,20,20,20,11,17,4,3900
New York Knicks,2012-13,Road,23,18,0.561,628,830,0.757,5,5,5,23,21,13,3986
Oklahoma City Thunder,2012-13,Road,26,15,0.634,907,1104,0.822,2,2,2,1,2,1,4221
Orlando Magic,2012-13,Road,8,33,0.195,519,684,0.759,26,26,26,30,30,12,3818
Philadelphia 76ers,2012-13,Road,11,30,0.268,528,708,0.746,20,20,20,29,29,19,3759
Phoenix Suns,2012-13,Road,8,33,0.195,604,799,0.756,26,26,26,24,25,14,3927
Portland Trail Blazers,2012-13,Road,11,30,0.268,597,778,0.767,20,20,20,25,27,10,3929
Sacramento Kings,2012-13,Road,8,33,0.195,646,856,0.755,26,26,26,19,18,15,3930
San Antonio Spurs,2012-13,Road,23,18,0.561,698,886,0.788,5,5,5,11,15,7,4159
Toronto Raptors,2012-13,Road,13,28,0.317,727,905,0.803,18,18,18,5,12,3,4003
Utah Jazz,2012-13,Road,13,28,0.317,699,912,0.766,18,18,18,10,11,11,3927
Washington Wizards,2012-13,Road,7,34,0.171,573,791,0.724,29,29,29,27,26,25,3631
Atlanta Hawks,2013-14,Home,24,17,0.585,738,940,0.785,16,16,16,15,18,6,4135
Boston Celtics,2013-14,Home,16,25,0.39,648,833,0.778,26,26,26,28,28,11,3958
Brooklyn Nets,2013-14,Home,28,13,0.683,771,1028,0.75,8,8,8,10,10,22,4123
Charlotte Bobcats,2013-14,Home,25,16,0.61,751,1010,0.744,15,15,15,14,11,25,3956
Chicago Bulls,2013-14,Home,27,14,0.659,735,940,0.782,9,9,9,16,18,9,3873
Cleveland Cavaliers,2013-14,Home,19,22,0.463,702,941,0.746,21,21,21,20,17,24,4053
Dallas Mavericks,2013-14,Home,26,15,0.634,780,975,0.8,12,12,12,9,14,2,4405
Denver Nuggets,2013-14,Home,22,19,0.537,783,1080,0.725,18,18,18,8,6,27,4345
Detroit Pistons,2013-14,Home,17,24,0.415,722,1075,0.672,24,24,24,18,7,30,4146
Golden State Warriors,2013-14,Home,27,14,0.659,642,819,0.784,9,9,9,29,29,7,4295
Houston Rockets,2013-14,Home,33,8,0.805,955,1349,0.708,4,4,4,1,1,28,4479
Indiana Pacers,2013-14,Home,35,6,0.854,767,972,0.789,1,1,1,12,15,5,4040
Los Angeles Clippers,2013-14,Home,34,7,0.829,921,1259,0.732,2,2,2,2,2,26,4542
Los Angeles Lakers,2013-14,Home,14,27,0.341,685,900,0.761,28,28,28,23,23,15,4262
Memphis Grizzlies,2013-14,Home,27,14,0.659,665,885,0.751,9,9,9,25,24,21,4046
Miami Heat,2013-14,Home,32,9,0.78,728,963,0.756,5,5,5,17,16,18,4283
Milwaukee Bucks,2013-14,Home,10,31,0.244,678,906,0.748,29,29,29,24,22,23,3870
Minnesota Timberwolves,2013-14,Home,24,17,0.585,919,1173,0.783,16,16,16,3,3,8,4429
New Orleans Pelicans,2013-14,Home,22,19,0.537,766,989,0.775,18,18,18,13,12,13,4148
New York Knicks,2013-14,Home,19,22,0.463,664,876,0.758,21,21,21,26,26,17,4098
Oklahoma City Thunder,2013-14,Home,34,7,0.829,834,1052,0.793,2,2,2,6,8,3,4416
Orlando Magic,2013-14,Home,19,22,0.463,686,884,0.776,21,21,21,22,25,12,4105
Philadelphia 76ers,2013-14,Home,10,31,0.244,691,986,0.701,29,29,29,21,13,29,4113
Phoenix Suns,2013-14,Home,26,15,0.634,785,1041,0.754,12,12,12,7,9,19,4434
Portland Trail Blazers,2013-14,Home,31,10,0.756,768,933,0.823,7,7,7,11,20,1,4414
Sacramento Kings,2013-14,Home,17,24,0.415,876,1139,0.769,24,24,24,4,4,14,4188
San Antonio Spurs,2013-14,Home,32,9,0.78,621,798,0.778,5,5,5,30,30,10,4360
Toronto Raptors,2013-14,Home,26,15,0.634,857,1085,0.79,12,12,12,5,5,4,4241
Utah Jazz,2013-14,Home,16,25,0.39,704,926,0.76,26,26,26,19,21,16,3967
Washington Wizards,2013-14,Home,22,19,0.537,656,872,0.752,18,18,18,27,27,20,4114
Atlanta Hawks,2013-14,Road,14,27,0.341,654,842,0.777,19,19,19,24,26,5,4147
Boston Celtics,2013-14,Road,9,32,0.22,677,873,0.775,26,26,26,20,23,7,3934
Brooklyn Nets,2013-14,Road,16,25,0.39,737,974,0.757,17,17,17,10,10,15,3956
Charlotte Bobcats,2013-14,Road,18,23,0.439,723,990,0.73,15,15,15,12,9,22,3986
Chicago Bulls,2013-14,Road,21,20,0.512,751,968,0.776,12,12,12,8,12,6,3807
Cleveland Cavaliers,2013-14,Road,14,27,0.341,696,920,0.757,19,19,19,18,20,16,4001
Dallas Mavericks,2013-14,Road,23,18,0.561,598,758,0.789,4,4,4,28,30,4,4192
Denver Nuggets,2013-14,Road,14,27,0.341,780,1074,0.726,19,19,19,7,5,25,4214
Detroit Pistons,2013-14,Road,12,29,0.293,693,1036,0.669,23,23,23,19,6,30,4140
Golden State Warriors,2013-14,Road,24,17,0.585,661,912,0.725,3,3,3,23,21,26,4254
Houston Rockets,2013-14,Road,21,20,0.512,859,1200,0.716,12,12,12,2,1,28,4350
Indiana Pacers,2013-14,Road,21,20,0.512,718,935,0.768,12,12,12,14,16,10,3893
Los Angeles Clippers,2013-14,Road,23,18,0.561,820,1125,0.729,4,4,4,4,3,24,4308
Los Angeles Lakers,2013-14,Road,13,28,0.317,705,935,0.754,22,22,22,15,16,17,4180
Memphis Grizzlies,2013-14,Road,23,18,0.561,570,781,0.73,4,4,4,30,29,23,3838
Miami Heat,2013-14,Road,22,19,0.537,703,921,0.763,8,8,8,16,19,13,4097
Milwaukee Bucks,2013-14,Road,5,36,0.122,699,937,0.746,29,29,29,17,15,20,3959
Minnesota Timberwolves,2013-14,Road,16,25,0.39,871,1128,0.772,17,17,17,1,2,9,4339
New Orleans Pelicans,2013-14,Road,12,29,0.293,723,947,0.763,23,23,23,12,14,12,4029
New York Knicks,2013-14,Road,18,23,0.439,607,794,0.764,15,15,15,27,28,11,3986
Oklahoma City Thunder,2013-14,Road,25,16,0.61,819,1000,0.819,2,2,2,5,7,1,4289
Orlando Magic,2013-14,Road,4,37,0.098,621,830,0.748,30,30,30,26,27,19,3809
Philadelphia 76ers,2013-14,Road,9,32,0.22,671,932,0.72,26,26,26,21,18,27,4042
Phoenix Suns,2013-14,Road,22,19,0.537,735,963,0.763,8,8,8,11,13,14,4195
Portland Trail Blazers,2013-14,Road,23,18,0.561,801,993,0.807,4,4,4,6,8,2,4339
Sacramento Kings,2013-14,Road,11,30,0.268,822,1098,0.749,25,25,25,3,4,18,4053
San Antonio Spurs,2013-14,Road,30,11,0.732,668,844,0.791,1,1,1,22,24,3,4279
Toronto Raptors,2013-14,Road,22,19,0.537,751,970,0.774,8,8,8,8,11,8,4064
Utah Jazz,2013-14,Road,9,32,0.22,642,877,0.732,26,26,26,25,22,21,3824
Washington Wizards,2013-14,Road,22,19,0.537,597,843,0.708,8,8,8,29,25,29,4140
Atlanta Hawks,2014-15,Home,35,6,0.854,671,855,0.785,2,2,2,22,24,5,4245
Boston Celtics,2014-15,Home,21,20,0.512,617,809,0.763,18,18,18,28,29,11,4158
Brooklyn Nets,2014-15,Home,19,22,0.463,697,942,0.74,21,21,21,17,16,22,4060
Charlotte Hornets,2014-15,Home,19,22,0.463,706,960,0.735,21,21,21,14,15,23,3896
Chicago Bulls,2014-15,Home,27,14,0.659,817,1036,0.789,12,12,12,2,6,3,4178
Cleveland Cavaliers,2014-15,Home,31,10,0.756,701,940,0.746,5,5,5,16,17,19,4241
Dallas Mavericks,2014-15,Home,27,14,0.659,754,1002,0.752,12,12,12,10,11,16,4370
Denver Nuggets,2014-15,Home,19,22,0.463,809,1086,0.745,21,21,21,3,2,20,4271
Detroit Pistons,2014-15,Home,18,23,0.439,687,978,0.702,24,24,24,20,13,29,4150
Golden State Warriors,2014-15,Home,39,2,0.951,656,850,0.772,1,1,1,26,25,9,4646
Houston Rockets,2014-15,Home,30,11,0.732,764,1076,0.71,7,7,7,9,4,27,4246
Indiana Pacers,2014-15,Home,23,18,0.561,671,919,0.73,15,15,15,22,21,24,4036
Los Angeles Clippers,2014-15,Home,30,11,0.732,768,1080,0.711,7,7,7,8,3,26,4346
Los Angeles Lakers,2014-15,Home,12,29,0.293,735,1021,0.72,27,27,27,12,8,25,4041
Memphis Grizzlies,2014-15,Home,31,10,0.756,736,930,0.791,5,5,5,11,19,2,4078
Miami Heat,2014-15,Home,20,21,0.488,771,1026,0.751,20,20,20,7,7,17,3970
Milwaukee Bucks,2014-15,Home,23,18,0.561,655,847,0.773,15,15,15,27,26,8,4011
Minnesota Timberwolves,2014-15,Home,9,32,0.22,806,1042,0.774,30,30,30,4,5,7,3979
New Orleans Pelicans,2014-15,Home,28,13,0.683,689,922,0.747,11,11,11,19,20,18,4168
New York Knicks,2014-15,Home,10,31,0.244,580,757,0.766,29,29,29,30,30,10,3750
Oklahoma City Thunder,2014-15,Home,29,12,0.707,795,1014,0.784,9,9,9,5,9,6,4382
Orlando Magic,2014-15,Home,13,28,0.317,604,813,0.743,26,26,26,29,28,21,3980
Philadelphia 76ers,2014-15,Home,12,29,0.293,707,1007,0.702,27,27,27,13,10,30,3905
Phoenix Suns,2014-15,Home,22,19,0.537,670,890,0.753,17,17,17,25,23,15,4209
Portland Trail Blazers,2014-15,Home,32,9,0.78,671,839,0.8,4,4,4,22,27,1,4268
Sacramento Kings,2014-15,Home,18,23,0.439,880,1157,0.761,24,24,24,1,1,13,4156
San Antonio Spurs,2014-15,Home,33,8,0.805,692,908,0.762,3,3,3,18,22,12,4404
Toronto Raptors,2014-15,Home,27,14,0.659,775,983,0.788,12,12,12,6,12,4,4211
Utah Jazz,2014-15,Home,21,20,0.512,682,961,0.71,18,18,18,21,14,28,3948
Washington Wizards,2014-15,Home,29,12,0.707,705,932,0.756,9,9,9,15,18,14,4195
Atlanta Hawks,2014-15,Road,25,16,0.61,678,880,0.77,4,4,4,14,18,8,4164
Boston Celtics,2014-15,Road,19,22,0.463,649,869,0.747,11,11,11,23,21,19,4154
Brooklyn Nets,2014-15,Road,19,22,0.463,662,875,0.757,11,11,11,18,20,14,3978
Charlotte Hornets,2014-15,Road,14,27,0.341,691,907,0.762,22,22,22,13,14,13,3825
Chicago Bulls,2014-15,Road,23,18,0.561,801,1031,0.777,6,6,6,4,4,6,4087
Cleveland Cavaliers,2014-15,Road,22,19,0.537,752,994,0.757,8,8,8,6,7,15,4216
Dallas Mavericks,2014-15,Road,23,18,0.561,632,841,0.751,6,6,6,24,26,18,4258
Denver Nuggets,2014-15,Road,11,30,0.268,653,905,0.722,25,25,25,22,15,25,4049
Detroit Pistons,2014-15,Road,14,27,0.341,605,860,0.703,22,22,22,27,23,29,3927
Golden State Warriors,2014-15,Road,28,13,0.683,657,859,0.765,1,1,1,19,24,10,4370
Houston Rockets,2014-15,Road,26,15,0.634,761,1057,0.72,2,2,2,5,3,26,4276
Indiana Pacers,2014-15,Road,15,26,0.366,702,898,0.782,21,21,21,10,16,4,3945
Los Angeles Clippers,2014-15,Road,26,15,0.634,700,987,0.709,2,2,2,11,8,28,4405
Los Angeles Lakers,2014-15,Road,9,32,0.22,698,914,0.764,27,27,27,12,12,11,4032
Memphis Grizzlies,2014-15,Road,24,17,0.585,709,939,0.755,5,5,5,8,11,17,3984
Miami Heat,2014-15,Road,17,24,0.415,667,914,0.73,15,15,15,17,12,22,3794
Milwaukee Bucks,2014-15,Road,18,23,0.439,657,887,0.741,14,14,14,19,17,20,4012
Minnesota Timberwolves,2014-15,Road,7,34,0.171,832,1068,0.779,28,28,28,2,2,5,4037
New Orleans Pelicans,2014-15,Road,17,24,0.415,656,868,0.756,15,15,15,21,22,16,3979
New York Knicks,2014-15,Road,7,34,0.171,631,818,0.771,28,28,28,25,28,7,3785
Oklahoma City Thunder,2014-15,Road,16,25,0.39,729,1006,0.725,20,20,20,7,6,24,4142
Orlando Magic,2014-15,Road,12,29,0.293,537,752,0.714,24,24,24,30,29,27,3867
Philadelphia 76ers,2014-15,Road,6,35,0.146,613,946,0.648,30,30,30,26,10,30,3637
Phoenix Suns,2014-15,Road,17,24,0.415,673,877,0.767,15,15,15,16,19,9,4188
Portland Trail Blazers,2014-15,Road,19,22,0.463,601,750,0.801,11,11,11,28,30,1,4161
Sacramento Kings,2014-15,Road,11,30,0.268,949,1243,0.763,25,25,25,1,1,12,4154
San Antonio Spurs,2014-15,Road,22,19,0.537,676,846,0.799,8,8,8,15,25,2,4057
Toronto Raptors,2014-15,Road,22,19,0.537,810,1031,0.786,8,8,8,3,4,3,4316
Utah Jazz,2014-15,Road,17,24,0.415,709,968,0.732,15,15,15,8,9,21,3853
Washington Wizards,2014-15,Road,17,24,0.415,600,826,0.726,15,15,15,29,27,23,3885
Atlanta Hawks,2015-16,Home,27,14,0.659,577,734,0.786,11,11,11,30,30,6,4247
Boston Celtics,2015-16,Home,28,13,0.683,775,987,0.785,8,8,8,11,14,7,4348
Brooklyn Nets,2015-16,Home,14,27,0.341,621,827,0.751,26,26,26,29,29,20,4056
Charlotte Hornets,2015-16,Home,30,11,0.732,815,1031,0.79,6,6,6,5,10,5,4324
Chicago Bulls,2015-16,Home,26,15,0.634,683,872,0.783,12,12,12,24,25,10,4175
Cleveland Cavaliers,2015-16,Home,33,8,0.805,683,903,0.756,3,3,3,24,23,16,4372
Dallas Mavericks,2015-16,Home,23,18,0.561,780,957,0.815,17,17,17,10,19,2,4277
Denver Nuggets,2015-16,Home,18,23,0.439,853,1103,0.773,23,23,23,4,4,13,4250
Detroit Pistons,2015-16,Home,26,15,0.634,744,1065,0.699,12,12,12,13,7,28,4307
Golden State Warriors,2015-16,Home,39,2,0.951,700,894,0.783,2,2,2,23,24,11,4767
Houston Rockets,2015-16,Home,23,18,0.561,814,1165,0.699,17,17,17,6,1,27,4357
Indiana Pacers,2015-16,Home,26,15,0.634,717,948,0.756,12,12,12,18,20,17,4219
LA Clippers,2015-16,Home,29,12,0.707,735,1062,0.692,7,7,7,15,8,29,4297
Los Angeles Lakers,2015-16,Home,12,29,0.293,803,1023,0.785,29,29,29,7,11,8,3969
Memphis Grizzlies,2015-16,Home,26,15,0.634,862,1086,0.794,12,12,12,3,6,4,4176
Miami Heat,2015-16,Home,28,13,0.683,767,1035,0.741,8,8,8,12,9,23,4232
Milwaukee Bucks,2015-16,Home,23,18,0.561,729,975,0.748,17,17,17,17,15,22,4135
Minnesota Timberwolves,2015-16,Home,14,27,0.341,899,1146,0.784,26,26,26,1,3,9,4162
New Orleans Pelicans,2015-16,Home,21,20,0.512,715,922,0.775,22,22,22,19,22,12,4343
New York Knicks,2015-16,Home,18,23,0.439,703,851,0.826,23,23,23,22,27,1,4052
Oklahoma City Thunder,2015-16,Home,32,9,0.78,784,1017,0.771,4,4,4,9,12,15,4491
Orlando Magic,2015-16,Home,23,18,0.561,650,864,0.752,17,17,17,27,26,19,4285
Philadelphia 76ers,2015-16,Home,7,34,0.171,647,959,0.675,30,30,30,28,18,30,4021
Phoenix Suns,2015-16,Home,14,27,0.341,730,974,0.749,26,26,26,16,16,21,4227
Portland Trail Blazers,2015-16,Home,28,13,0.683,705,935,0.754,8,8,8,21,21,18,4430
Sacramento Kings,2015-16,Home,18,23,0.439,796,1094,0.728,23,23,23,8,5,26,4410
San Antonio Spurs,2015-16,Home,40,1,0.976,682,850,0.802,1,1,1,26,28,3,4311
Toronto Raptors,2015-16,Home,32,9,0.78,887,1150,0.771,4,4,4,2,2,14,4303
